event_id,method,no_track_found,more_than_1_track,phi_cut,start_outside,end_outside,inter_outside,end_in_beam_zone,angle_diff_cut
3555,GMM,False,False,True,False,False,False,False,True
3558,GMM,False,False,True,False,True,False,False,False
3562,GMM,False,False,True,False,False,False,False,False
3564,GMM,False,False,False,False,True,False,False,False
3565,GMM,False,False,False,True,False,True,False,False
3566,GMM,False,False,False,True,True,True,False,False
3569,GMM,False,False,True,False,False,False,False,False
3570,GMM,False,False,False,False,True,False,False,False
3573,GMM,False,True,False,False,False,False,False,False
3574,GMM,False,True,False,False,False,False,False,False
3575,GMM,False,False,False,False,True,False,False,False
3576,GMM,False,False,True,False,True,False,False,False
3578,GMM,False,False,True,False,False,False,False,False
3579,GMM,False,False,True,False,False,False,False,True
3580,GMM,True,False,False,False,False,False,False,False
3581,GMM,False,False,False,False,True,False,False,False
3582,GMM,False,False,False,False,True,False,False,False
3583,GMM,False,False,False,False,True,False,False,False
3585,GMM,False,True,False,False,False,False,False,False
3586,GMM,True,False,False,False,False,False,False,False
3590,GMM,False,False,False,False,True,False,False,False
3591,GMM,False,True,False,False,False,False,False,False
3593,GMM,False,False,False,True,True,True,False,False
3595,GMM,False,True,False,False,False,False,False,False
3596,GMM,False,False,False,False,True,False,False,False
3597,GMM,False,False,True,False,False,False,False,True
3601,GMM,False,False,False,False,True,False,False,False
3602,GMM,False,False,True,False,True,False,False,False
3606,GMM,False,True,False,False,False,False,False,False
3607,GMM,False,True,False,False,False,False,False,False
3608,GMM,False,False,False,False,True,False,False,False
3609,GMM,False,True,False,False,False,False,False,False
3610,GMM,False,True,False,False,False,False,False,False
3613,GMM,False,False,False,False,True,False,False,False
3614,GMM,False,False,False,False,True,False,False,False
3615,GMM,False,False,False,False,True,False,False,False
3616,GMM,False,False,False,False,True,False,False,False
3617,GMM,True,False,False,False,False,False,False,False
3618,GMM,False,False,False,False,True,False,False,False
3619,GMM,False,True,False,False,False,False,False,False
3620,GMM,False,False,False,False,True,False,False,False
3621,GMM,False,False,False,False,True,False,False,False
3622,GMM,False,False,False,False,True,False,False,False
3623,GMM,False,False,True,False,False,False,False,False
3625,GMM,False,False,False,False,True,False,False,False
3627,GMM,False,False,True,False,True,False,False,False
3629,GMM,False,True,False,False,False,False,False,False
3630,GMM,False,False,False,False,True,False,False,False
3633,GMM,False,False,True,False,False,False,False,False
3634,GMM,False,False,False,False,True,False,False,False
